name,pop,species
1306,Taxco,ramosae
1307,Taxco,ramosae
1308,Taxco,ramosae
1309,Taxco,ramosae
1310,Taxco,ramosae
1311,Taxco,ramosae
1312,Taxco,ramosae
729,Taxco,ramosae
1313,Taxco,ramosae
1315,Taxco,ramosae
1316,Taxco,ramosae
1317,Taxco,ramosae
1318,Taxco,ramosae
1319,Taxco,ramosae
1320,Taxco,ramosae
1321,Taxco,ramosae
1322,Taxco,ramosae
HS38,Jeffs house,cingulata
HS39,Jeffs house,cingulata
HS40,Jeffs house,cingulata
HS41,Jeffs house,cingulata
HS42,Jeffs house,cingulata
HS43,Jeffs house,cingulata
HS44,Jeffs house,cingulata
HS45,Jeffs house,cingulata
HS46,Jeffs house,cingulata
HS47,Jeffs house,cingulata?
HS48,Jeffs house,cingulata
1174,Acajete,zoqui
1175,Acajete,zoqui
1176,Acajete,zoqui
1180,Acajete,zoqui
1182,Acajete,zoqui
1185,Acajete,zoqui
1186,Acajete,zoqui
1187,Acajete,zoqui
1188,Acajete,zoqui
1189,Acajete,zoqui
1190,Acajete,zoqui
1192,Acajete,zoqui
1194,Acajete,zoqui
1196,Acajete,zoqui
1197,Acajete,zoqui
1198,Acajete,zoqui
1199,Acajete,zoqui
1200,Acajete,zoqui
1201,Acajete,zoqui
1202,Acajete,zoqui
1228,Briones,zoqui
1229,Briones,zoqui
1230,Briones,zoqui
1231,Briones,zoqui
1232,Briones,zoqui
1233,Briones,zoqui
1234,Briones,zoqui
1235,Briones,zoqui
1236,Briones,zoqui
1237,Briones,zoqui
1238,Briones,zoqui
1239,Briones,zoqui
1240,Briones,zoqui
1241,Briones,zoqui
1242,Briones,zoqui
1243,Briones,zoqui
1244,Briones,zoqui
1245,Briones,zoqui
1246,Briones,zoqui
1247,Guadalcazor,zoqui
1248,Guadalcazor,zoqui
749,Guadalcazor,zoqui
750,Guadalcazor,zoqui
1251,Guadalcazor,zoqui
1252,Guadalcazor,zoqui
1253,Guadalcazor,zoqui
1254,Guadalcazor,zoqui
1255,Guadalcazor,zoqui
1256,Guadalcazor,zoqui
1257,Guadalcazor,zoqui
1258,Guadalcazor,zoqui
1259,Guadalcazor,zoqui
1260,Guadalcazor,zoqui
1261,Guadalcazor,zoqui
1262,Guadalcazor,zoqui
1263,Guadalcazor,zoqui
1264,Guadalcazor,zoqui
1265,Guadalcazor,zoqui
1266,Guadalcazor,zoqui
1267,Guadalcazor,zoqui
50,Acahuales,comXzoq
51,Acahuales,comXzoq
52,Acahuales,comXzoq
53,Acahuales,comXzoq
54,Acahuales,comXzoq
55,Acahuales,comXzoq
1324,LosTuxtlas,spNov
1325,LosTuxtlas,spNov
1326,LosTuxtlas,spNov
1327,LosTuxtlas,spNov
1329,LosTuxtlas,spNov
1330,LosTuxtlas,spNov
1332,LosTuxtlas,spNov
1331,LosTuxtlas,spNov
1334,LosTuxtlas,spNov
1335,LosTuxtlas,spNov
1337,LosTuxtlas,spNov
1339,LosTuxtlas,spNov
1341,LosTuxtlas,spNov
1342,LosTuxtlas,spNov
1343,LosTuxtlas,spNov
1345,LosTuxtlas,spNov
1347,LosTuxtlas,spNov
1348,LosTuxtlas,spNov
1349,LosTuxtlas,spNov
1350,LosTuxtlas,spNov
1352,LosTuxtlas,spNov
1353,LosTuxtlas,spNov
1354,LosTuxtlas,spNov
1355,LosTuxtlas,spNov
1356,LosTuxtlas,spNov
1360,LosTuxtlas,spNov
1361,LosTuxtlas,spNov
1363,LosTuxtlas,spNov
1364,LosTuxtlas,spNov
Negative.Control.2,Negative.Control.2,Negative.Control.2
Negative.Control.1,Negative.Control.1,Negative.Control.1
